RSSI:-69,Distance: 1.0Time difference: 1488143567979
RSSI:-69,Distance: 1.0Time difference: 1488143567979
RSSI:-61,Distance: 1.0Time difference: 1488143568393
RSSI:-64,Distance: 1.0Time difference: 1488143568606
RSSI:-69,Distance: 1.0Time difference: 1488143568820
RSSI:-61,Distance: 1.0Time difference: 1488143569023
RSSI:-62,Distance: 1.0Time difference: 1488143569231
RSSI:-62,Distance: 1.0Time difference: 1488143569231
RSSI:-62,Distance: 1.0Time difference: 1488143569231
RSSI:-62,Distance: 1.0Time difference: 1488143569231
RSSI:-65,Distance: 1.0Time difference: 1488143570160
RSSI:-69,Distance: 1.0Time difference: 1488143570374
RSSI:-61,Distance: 1.0Time difference: 1488143570596
RSSI:-61,Distance: 1.0Time difference: 1488143570596
RSSI:-61,Distance: 1.0Time difference: 1488143571000
RSSI:-65,Distance: 1.0Time difference: 1488143571207
RSSI:-59,Distance: 1.0Time difference: 1488143571417
RSSI:-64,Distance: 1.0Time difference: 1488143571627
RSSI:-66,Distance: 1.0Time difference: 1488143571840
RSSI:-66,Distance: 1.0Time difference: 1488143571840
RSSI:-59,Distance: 1.0Time difference: 1488143572244
RSSI:-61,Distance: 1.0Time difference: 1488143572464
RSSI:-67,Distance: 1.0Time difference: 1488143572677
RSSI:-61,Distance: 1.0Time difference: 1488143572884
RSSI:-62,Distance: 1.0Time difference: 1488143573091
RSSI:-62,Distance: 1.0Time difference: 1488143573091
RSSI:-68,Distance: 1.0Time difference: 1488143573508
RSSI:-61,Distance: 1.0Time difference: 1488143573715
RSSI:-62,Distance: 1.0Time difference: 1488143573919
RSSI:-69,Distance: 1.0Time difference: 1488143574137
RSSI:-61,Distance: 1.0Time difference: 1488143574349
RSSI:-61,Distance: 1.0Time difference: 1488143574349
RSSI:-67,Distance: 1.0Time difference: 1488143574768
RSSI:-71,Distance: 1.0Time difference: 1488143574978
RSSI:-65,Distance: 1.0Time difference: 1488143575191
RSSI:-64,Distance: 1.0Time difference: 1488143575402
RSSI:-63,Distance: 1.0Time difference: 1488143575711
RSSI:-63,Distance: 1.0Time difference: 1488143575711
RSSI:-53,Distance: 1.0Time difference: 1488143576137
RSSI:-54,Distance: 1.0Time difference: 1488143576344
RSSI:-58,Distance: 1.0Time difference: 1488143576550
RSSI:-54,Distance: 1.0Time difference: 1488143576759
RSSI:-57,Distance: 1.0Time difference: 1488143576968
RSSI:-57,Distance: 1.0Time difference: 1488143576968
RSSI:-61,Distance: 1.0Time difference: 1488143577379
RSSI:-55,Distance: 1.0Time difference: 1488143577585
RSSI:-55,Distance: 1.0Time difference: 1488143577802
RSSI:-59,Distance: 1.0Time difference: 1488143578018
RSSI:-54,Distance: 1.0Time difference: 1488143578230
RSSI:-54,Distance: 1.0Time difference: 1488143578230
