RSSI:-53.0,Distance: 1.0Time difference: 1488132812171
RSSI:-53.0,Distance: 1.0Time difference: 1488132813754
RSSI:-49.0,Distance: 1.0Time difference: 1488132813956
RSSI:-49.0,Distance: 1.0Time difference: 1488132813956
RSSI:-51.0,Distance: 1.0Time difference: 1488132814380
RSSI:-54.0,Distance: 1.0Time difference: 1488132814588
RSSI:-48.0,Distance: 1.0Time difference: 1488132814795
RSSI:-52.0,Distance: 1.0Time difference: 1488132814997
RSSI:-55.0,Distance: 1.0Time difference: 1488132815214
RSSI:-55.0,Distance: 1.0Time difference: 1488132815214
RSSI:-54.0,Distance: 1.0Time difference: 1488132815639
RSSI:-54.0,Distance: 1.0Time difference: 1488132815639
RSSI:-54.0,Distance: 1.0Time difference: 1488132815639
RSSI:-54.0,Distance: 1.0Time difference: 1488132815639
RSSI:-54.0,Distance: 1.0Time difference: 1488132815639
RSSI:-54.0,Distance: 1.0Time difference: 1488132815639
RSSI:-56.0,Distance: 1.0Time difference: 1488132817001
RSSI:-54.0,Distance: 1.0Time difference: 1488132817217
RSSI:-51.0,Distance: 1.0Time difference: 1488132817432
RSSI:-54.0,Distance: 1.0Time difference: 1488132817638
RSSI:-51.0,Distance: 1.0Time difference: 1488132817853
RSSI:-51.0,Distance: 1.0Time difference: 1488132817853
RSSI:-52.0,Distance: 1.0Time difference: 1488132818281
RSSI:-57.0,Distance: 1.0Time difference: 1488132818495
RSSI:-54.0,Distance: 1.0Time difference: 1488132818706
RSSI:-50.0,Distance: 1.0Time difference: 1488132818910
RSSI:-50.0,Distance: 1.0Time difference: 1488132818910
RSSI:-50.0,Distance: 1.0Time difference: 1488132818910
RSSI:-50.0,Distance: 1.0Time difference: 1488132818910
RSSI:-50.0,Distance: 1.0Time difference: 1488132818910
RSSI:-56.0,Distance: 1.0Time difference: 1488132820079
RSSI:-54.0,Distance: 1.0Time difference: 1488132820282
RSSI:-51.0,Distance: 1.0Time difference: 1488132820494
RSSI:-51.0,Distance: 1.0Time difference: 1488132820494
RSSI:-55.0,Distance: 1.0Time difference: 1488132820939
RSSI:-53.0,Distance: 1.0Time difference: 1488132821122
RSSI:-51.0,Distance: 1.0Time difference: 1488132821329
RSSI:-56.0,Distance: 1.0Time difference: 1488132821543
RSSI:-55.0,Distance: 1.0Time difference: 1488132821750
RSSI:-55.0,Distance: 1.0Time difference: 1488132821750
RSSI:-52.0,Distance: 1.0Time difference: 1488132822166
RSSI:-52.0,Distance: 1.0Time difference: 1488132822166
RSSI:-54.0,Distance: 1.0Time difference: 1488132822600
RSSI:-55.0,Distance: 1.0Time difference: 1488132822907
RSSI:-55.0,Distance: 1.0Time difference: 1488132822907
RSSI:-67.0,Distance: 1.0Time difference: 1488132823330
RSSI:-57.0,Distance: 1.0Time difference: 1488132823534
RSSI:-56.0,Distance: 1.0Time difference: 1488132823743
RSSI:-76.0,Distance: 1.0Time difference: 1488132823948
RSSI:-57.0,Distance: 1.0Time difference: 1488132824155
RSSI:-61.0,Distance: 1.0Time difference: 1488132824363
RSSI:-61.0,Distance: 1.0Time difference: 1488132824363
RSSI:-64.0,Distance: 1.0Time difference: 1488132824784
RSSI:-59.0,Distance: 1.0Time difference: 1488132824993
RSSI:-64.0,Distance: 1.0Time difference: 1488132825204
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-61.0,Distance: 1.0Time difference: 1488132825415
RSSI:-59.0,Distance: 1.0Time difference: 1488132827189
RSSI:-56.0,Distance: 1.0Time difference: 1488132827398
RSSI:-58.0,Distance: 1.0Time difference: 1488132827617
RSSI:-59.0,Distance: 1.0Time difference: 1488132827827
RSSI:-56.0,Distance: 1.0Time difference: 1488132828033
RSSI:-56.0,Distance: 1.0Time difference: 1488132828033
RSSI:-60.0,Distance: 1.0Time difference: 1488132828448
RSSI:-58.0,Distance: 1.0Time difference: 1488132828666
RSSI:-57.0,Distance: 1.0Time difference: 1488132828876
RSSI:-61.0,Distance: 1.0Time difference: 1488132829093
RSSI:-59.0,Distance: 1.0Time difference: 1488132829314
RSSI:-59.0,Distance: 1.0Time difference: 1488132829314
RSSI:-56.0,Distance: 1.0Time difference: 1488132829729
RSSI:-56.0,Distance: 1.0Time difference: 1488132829729
RSSI:-54.0,Distance: 1.0Time difference: 1488132830248
RSSI:-53.0,Distance: 1.0Time difference: 1488132830453
RSSI:-56.0,Distance: 1.0Time difference: 1488132830658
RSSI:-56.0,Distance: 1.0Time difference: 1488132830658
RSSI:-60.0,Distance: 1.0Time difference: 1488132831073
RSSI:-54.0,Distance: 1.0Time difference: 1488132831290
RSSI:-55.0,Distance: 1.0Time difference: 1488132831503
RSSI:-58.0,Distance: 1.0Time difference: 1488132831713
RSSI:-58.0,Distance: 1.0Time difference: 1488132831713
RSSI:-58.0,Distance: 1.0Time difference: 1488132831713
RSSI:-58.0,Distance: 1.0Time difference: 1488132831713
RSSI:-58.0,Distance: 1.0Time difference: 1488132831713
RSSI:-58.0,Distance: 1.0Time difference: 1488132831713
RSSI:-60.0,Distance: 1.0Time difference: 1488132833078
RSSI:-54.0,Distance: 1.0Time difference: 1488132833283
RSSI:-54.0,Distance: 1.0Time difference: 1488132833283
RSSI:-55.0,Distance: 1.0Time difference: 1488132833698
RSSI:-56.0,Distance: 1.0Time difference: 1488132833899
RSSI:-55.0,Distance: 1.0Time difference: 1488132834114
RSSI:-55.0,Distance: 1.0Time difference: 1488132834114
RSSI:-55.0,Distance: 1.0Time difference: 1488132834114
RSSI:-55.0,Distance: 1.0Time difference: 1488132834114
RSSI:-55.0,Distance: 1.0Time difference: 1488132834114
RSSI:-55.0,Distance: 1.0Time difference: 1488132834114
RSSI:-53.0,Distance: 1.0Time difference: 1488132835483
RSSI:-53.0,Distance: 1.0Time difference: 1488132835698
RSSI:-53.0,Distance: 1.0Time difference: 1488132835698
RSSI:-51.0,Distance: 1.0Time difference: 1488132836118
RSSI:-53.0,Distance: 1.0Time difference: 1488132836332
RSSI:-55.0,Distance: 1.0Time difference: 1488132836534
RSSI:-53.0,Distance: 1.0Time difference: 1488132836744
RSSI:-57.0,Distance: 1.0Time difference: 1488132836956
RSSI:-57.0,Distance: 1.0Time difference: 1488132836956
RSSI:-55.0,Distance: 1.0Time difference: 1488132837377
RSSI:-51.0,Distance: 1.0Time difference: 1488132837585
RSSI:-52.0,Distance: 1.0Time difference: 1488132837798
RSSI:-54.0,Distance: 1.0Time difference: 1488132838000
RSSI:-54.0,Distance: 1.0Time difference: 1488132838000
RSSI:-54.0,Distance: 1.0Time difference: 1488132838000
RSSI:-54.0,Distance: 1.0Time difference: 1488132838000
RSSI:-54.0,Distance: 1.0Time difference: 1488132838944
RSSI:-50.0,Distance: 1.0Time difference: 1488132839147
RSSI:-51.0,Distance: 1.0Time difference: 1488132839356
RSSI:-55.0,Distance: 1.0Time difference: 1488132839564
RSSI:-55.0,Distance: 1.0Time difference: 1488132839564
RSSI:-50.0,Distance: 1.0Time difference: 1488132839982
RSSI:-50.0,Distance: 1.0Time difference: 1488132840193
RSSI:-52.0,Distance: 1.0Time difference: 1488132840418
RSSI:-50.0,Distance: 1.0Time difference: 1488132840618
RSSI:-53.0,Distance: 1.0Time difference: 1488132840926
RSSI:-53.0,Distance: 1.0Time difference: 1488132840926
RSSI:-55.0,Distance: 1.0Time difference: 1488132841351
RSSI:-51.0,Distance: 1.0Time difference: 1488132841555
RSSI:-53.0,Distance: 1.0Time difference: 1488132841763
RSSI:-55.0,Distance: 1.0Time difference: 1488132841980
RSSI:-51.0,Distance: 1.0Time difference: 1488132842195
RSSI:-51.0,Distance: 1.0Time difference: 1488132842195
RSSI:-50.0,Distance: 1.0Time difference: 1488132842623
RSSI:-54.0,Distance: 1.0Time difference: 1488132842824
RSSI:-51.0,Distance: 1.0Time difference: 1488132843041
RSSI:-53.0,Distance: 1.0Time difference: 1488132843253
RSSI:-56.0,Distance: 1.0Time difference: 1488132843473
RSSI:-56.0,Distance: 1.0Time difference: 1488132843473
RSSI:-53.0,Distance: 1.0Time difference: 1488132843887
RSSI:-54.0,Distance: 1.0Time difference: 1488132844103
RSSI:-59.0,Distance: 1.0Time difference: 1488132844414
RSSI:-52.0,Distance: 1.0Time difference: 1488132844620
RSSI:-52.0,Distance: 1.0Time difference: 1488132844620
RSSI:-53.0,Distance: 1.0Time difference: 1488132845037
RSSI:-53.0,Distance: 1.0Time difference: 1488132845037
RSSI:-53.0,Distance: 1.0Time difference: 1488132845037
RSSI:-53.0,Distance: 1.0Time difference: 1488132845037
RSSI:-57.0,Distance: 1.0Time difference: 1488132845989
RSSI:-57.0,Distance: 1.0Time difference: 1488132845989
RSSI:-53.0,Distance: 1.0Time difference: 1488132846411
RSSI:-54.0,Distance: 1.0Time difference: 1488132846622
RSSI:-57.0,Distance: 1.0Time difference: 1488132846830
RSSI:-53.0,Distance: 1.0Time difference: 1488132847037
RSSI:-54.0,Distance: 1.0Time difference: 1488132847249
RSSI:-54.0,Distance: 1.0Time difference: 1488132847249
RSSI:-54.0,Distance: 1.0Time difference: 1488132847249
RSSI:-52.0,Distance: 1.0Time difference: 1488132847971
RSSI:-53.0,Distance: 1.0Time difference: 1488132848181
RSSI:-55.0,Distance: 1.0Time difference: 1488132848391
RSSI:-52.0,Distance: 1.0Time difference: 1488132848600
RSSI:-52.0,Distance: 1.0Time difference: 1488132848600
RSSI:-55.0,Distance: 1.0Time difference: 1488132849008
RSSI:-56.0,Distance: 1.0Time difference: 1488132849228
RSSI:-53.0,Distance: 1.0Time difference: 1488132849435
RSSI:-52.0,Distance: 1.0Time difference: 1488132849645
RSSI:-55.0,Distance: 1.0Time difference: 1488132849859
RSSI:-55.0,Distance: 1.0Time difference: 1488132849859
RSSI:-53.0,Distance: 1.0Time difference: 1488132850273
RSSI:-51.0,Distance: 1.0Time difference: 1488132850479
RSSI:-56.0,Distance: 1.0Time difference: 1488132850695
RSSI:-60.0,Distance: 1.0Time difference: 1488132850907
RSSI:-61.0,Distance: 1.0Time difference: 1488132851115
RSSI:-61.0,Distance: 1.0Time difference: 1488132851115
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132851537
RSSI:-58.0,Distance: 1.0Time difference: 1488132853106
RSSI:-59.0,Distance: 1.0Time difference: 1488132853317
RSSI:-60.0,Distance: 1.0Time difference: 1488132853516
RSSI:-58.0,Distance: 1.0Time difference: 1488132853731
RSSI:-58.0,Distance: 1.0Time difference: 1488132853731
RSSI:-61.0,Distance: 1.0Time difference: 1488132854141
RSSI:-64.0,Distance: 1.0Time difference: 1488132854360
RSSI:-64.0,Distance: 1.0Time difference: 1488132854360
RSSI:-64.0,Distance: 1.0Time difference: 1488132854360
RSSI:-58.0,Distance: 1.0Time difference: 1488132855077
RSSI:-60.0,Distance: 1.0Time difference: 1488132855292
RSSI:-56.0,Distance: 1.0Time difference: 1488132855498
RSSI:-56.0,Distance: 1.0Time difference: 1488132855711
RSSI:-59.0,Distance: 1.0Time difference: 1488132855922
RSSI:-55.0,Distance: 1.0Time difference: 1488132856134
RSSI:-55.0,Distance: 1.0Time difference: 1488132856134
RSSI:-58.0,Distance: 1.0Time difference: 1488132856568
RSSI:-54.0,Distance: 1.0Time difference: 1488132856770
RSSI:-50.0,Distance: 1.0Time difference: 1488132856980
RSSI:-50.0,Distance: 1.0Time difference: 1488132856980
RSSI:-58.0,Distance: 1.0Time difference: 1488132857504
RSSI:-58.0,Distance: 1.0Time difference: 1488132857504
RSSI:-54.0,Distance: 1.0Time difference: 1488132857918
RSSI:-56.0,Distance: 1.0Time difference: 1488132858134
RSSI:-58.0,Distance: 1.0Time difference: 1488132858341
RSSI:-54.0,Distance: 1.0Time difference: 1488132858540
RSSI:-57.0,Distance: 1.0Time difference: 1488132858759
RSSI:-57.0,Distance: 1.0Time difference: 1488132858759
RSSI:-57.0,Distance: 1.0Time difference: 1488132858759
RSSI:-54.0,Distance: 1.0Time difference: 1488132859496
RSSI:-58.0,Distance: 1.0Time difference: 1488132859705
RSSI:-62.0,Distance: 1.0Time difference: 1488132859918
RSSI:-54.0,Distance: 1.0Time difference: 1488132860135
RSSI:-54.0,Distance: 1.0Time difference: 1488132860135
RSSI:-57.0,Distance: 1.0Time difference: 1488132860544
RSSI:-62.0,Distance: 1.0Time difference: 1488132860757
RSSI:-54.0,Distance: 1.0Time difference: 1488132860965
RSSI:-56.0,Distance: 1.0Time difference: 1488132861175
RSSI:-60.0,Distance: 1.0Time difference: 1488132861397
RSSI:-60.0,Distance: 1.0Time difference: 1488132861397
RSSI:-60.0,Distance: 1.0Time difference: 1488132861810
RSSI:-60.0,Distance: 1.0Time difference: 1488132861810
RSSI:-60.0,Distance: 1.0Time difference: 1488132861810
RSSI:-61.0,Distance: 1.0Time difference: 1488132862552
RSSI:-69.0,Distance: 1.0Time difference: 1488132862763
RSSI:-61.0,Distance: 1.0Time difference: 1488132862976
RSSI:-61.0,Distance: 1.0Time difference: 1488132862976
RSSI:-54.0,Distance: 1.0Time difference: 1488132863389
RSSI:-51.0,Distance: 1.0Time difference: 1488132863596
RSSI:-53.0,Distance: 1.0Time difference: 1488132863811
RSSI:-53.0,Distance: 1.0Time difference: 1488132863811
RSSI:-49.0,Distance: 1.0Time difference: 1488132864245
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132864445
RSSI:-50.0,Distance: 1.0Time difference: 1488132866230
RSSI:-53.0,Distance: 1.0Time difference: 1488132866449
RSSI:-53.0,Distance: 1.0Time difference: 1488132866449
RSSI:-59.0,Distance: 1.0Time difference: 1488132866883
RSSI:-59.0,Distance: 1.0Time difference: 1488132867098
RSSI:-54.0,Distance: 1.0Time difference: 1488132867311
RSSI:-54.0,Distance: 1.0Time difference: 1488132867311
RSSI:-54.0,Distance: 1.0Time difference: 1488132867311
RSSI:-54.0,Distance: 1.0Time difference: 1488132867311
RSSI:-52.0,Distance: 1.0Time difference: 1488132868249
RSSI:-58.0,Distance: 1.0Time difference: 1488132868463
RSSI:-55.0,Distance: 1.0Time difference: 1488132868677
RSSI:-57.0,Distance: 1.0Time difference: 1488132868883
RSSI:-58.0,Distance: 1.0Time difference: 1488132869087
RSSI:-58.0,Distance: 1.0Time difference: 1488132869087
RSSI:-54.0,Distance: 1.0Time difference: 1488132869511
RSSI:-51.0,Distance: 1.0Time difference: 1488132869720
RSSI:-50.0,Distance: 1.0Time difference: 1488132870027
RSSI:-49.0,Distance: 1.0Time difference: 1488132870227
RSSI:-49.0,Distance: 1.0Time difference: 1488132870227
RSSI:-46.0,Distance: 1.0Time difference: 1488132870651
RSSI:-51.0,Distance: 1.0Time difference: 1488132870875
RSSI:-58.0,Distance: 1.0Time difference: 1488132871066
RSSI:-53.0,Distance: 1.0Time difference: 1488132871277
RSSI:-54.0,Distance: 1.0Time difference: 1488132871490
RSSI:-54.0,Distance: 1.0Time difference: 1488132871490
RSSI:-55.0,Distance: 1.0Time difference: 1488132871922
RSSI:-54.0,Distance: 1.0Time difference: 1488132872129
RSSI:-55.0,Distance: 1.0Time difference: 1488132872336
RSSI:-59.0,Distance: 1.0Time difference: 1488132872647
RSSI:-59.0,Distance: 1.0Time difference: 1488132872647
RSSI:-59.0,Distance: 1.0Time difference: 1488132872647
RSSI:-59.0,Distance: 1.0Time difference: 1488132872647
RSSI:-67.0,Distance: 1.0Time difference: 1488132873482
RSSI:-58.0,Distance: 1.0Time difference: 1488132873682
RSSI:-61.0,Distance: 1.0Time difference: 1488132873895
RSSI:-56.0,Distance: 1.0Time difference: 1488132874094
RSSI:-56.0,Distance: 1.0Time difference: 1488132874094
RSSI:-58.0,Distance: 1.0Time difference: 1488132874506
RSSI:-67.0,Distance: 1.0Time difference: 1488132874721
